时间,车型,车名,厂商指导价格范围,月降价幅度,全国月关注,评分,全国月销量,质保,环保标准,油耗,燃油标号
2024年4月,MPV,长安欧尚A600,5.29万,1.70万,309657,,0,质保：三年或10万公里，两年或5万公里,环保标准：国V，国IV(国V)，国VI,5,2
2024年4月,MPV,上汽大通MAXUS G50,8.68-14.98万,1.52万,,4.68分,0,质保：待查，三年或6万公里，五年或10万公里,环保标准：国VI，国V,5,2
2024年4月,MPV,上汽大通MAXUS 大家9,26.99-44.99万,1.52万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,远志M1,17.78-28.88万,1.43万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,五菱佳辰,6.88-11.58万,1.30万,,4.79分,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,MPV,瑞风M4,10.58-15.98万,1.14万,78109,4.66分,0,质保：五年或10万公里,环保标准：国V，国VI,6,3
2024年4月,MPV,五菱宏光PLUS,5.88-7.98万,1.11万,,4.77分,0,质保：三年或6万公里,环保标准：国VI,5,2
2024年4月,MPV,传祺M8,17.98-36.98万,1.00万,,4.58分,0,质保：三年或10万公里,环保标准：国VI，国V,5,10
2024年4月,MPV,途睿欧,21.96-26.00万,1.00万,81865,4.74分,0,质保：三年或6万公里,环保标准：国V，国VI,6,2
2024年4月,MPV,赛那SIENNA,29.98-41.18万,1.00万,,4.79分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,MPV,长行,5.99万,0.99万,,,0,质保：两年或5万公里，三年或6万公里,环保标准：国VI，国V,5,2
2024年4月,MPV,风行游艇,11.99-15.69万,0.95万,,,0,质保：八年或16万公里,环保标准：国VI,0,2
2024年4月,MPV,瑞风M3,6.58-12.79万,0.95万,460830,4.58分,0,质保：三年或10万公里,环保标准：国V，国VI，国IV(国V),5,2
2024年4月,MPV,传祺M6,11.98-15.98万,0.90万,,4.64分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,MPV,风光380,5.28-6.08万,0.85万,,,0,质保：三年或6万公里,环保标准：国VI,4,2
2024年4月,MPV,五菱征程,6.98-9.08万,0.80万,,4.68分,0,质保：三年或6万公里,环保标准：国VI,5,2
2024年4月,MPV,上汽大通MAXUS 大家5,17.38-23.28万,0.76万,,,0,质保：三年或8万公里,环保标准：国VI,2,2
2024年4月,MPV,菱智,5.99-9.99万,0.76万,175452,4.67分,0,质保：五年或10万公里，两年或5万公里，两年或六万公里，2年或6万公里,环保标准：国V，国IV，欧III，国IV(国V)，国VI，国IV+OBD，国Ⅲ，国Ⅳ+OBD，欧Ⅲ,5,3
2024年4月,MPV,金海狮,6.09-10.59万,0.57万,,4.81分,0,质保：暂无数据,环保标准：国VI,5,2
2024年4月,MPV,金海狮M,4.99-5.99万,0.57万,,,0,质保：暂无数据,环保标准：国VI,4,2
2024年4月,MPV,五菱730,7.08-7.10万,0.55万,,,0,质保：三年或6万公里,环保标准：国VI,4,2
2024年4月,MPV,上汽大通MAXUS G90,19.99-32.99万,0.50万,,4.68分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,MPV,菱智PLUS,9.99-15.19万,0.47万,,4.81分,0,质保：五年或10万公里,环保标准：国VI,5,2
2024年4月,MPV,风行M7,12.69-26.99万,0.47万,,,0,质保：五年或10万公里,环保标准：国V，国VI,5,2
2024年4月,MPV,上汽大通MAXUS G20,16.88-26.28万,0.47万,,4.7分,0,质保：三年或6万公里,环保标准：国VI，国V,5,0
2024年4月,MPV,上汽大通MAXUS G10,12.08-19.08万,0.47万,148115,4.65分,0,质保：三年或6万公里,环保标准：国V，国VI，国IV,6,3
2024年4月,MPV,世纪,46.99-68.99万,0.47万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,MPV,菱智M5EV,13.99-19.69万,0.40万,,4.79分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,嘉华,28.99-34.09万,0.10万,368,4.9分,0,质保：三年或5万公里，五年或10万公里，3年或5万公里,环保标准：欧IV，国VI,5,2
2024年4月,MPV,瑞风L5,15.58-16.78万,0.10万,,,0,质保：三年或10万公里,环保标准：国VI,5,3
2024年4月,MPV,瑞风E3,17.48-20.88万,0.10万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,雷克萨斯LM,116.60-155.00万,0.07万,,,0,质保：六年或15万公里,环保标准：国VI,5,10
